,Date,Low,High
0,2021-07-29,1.389989,1.39821
1,2021-07-30,1.3897190000000001,1.398406
2,2021-08-02,1.388503,1.39334
3,2021-08-03,1.3886,1.394
4,2021-08-04,1.390144,1.395693
5,2021-08-05,1.3875979999999999,1.394758
6,2021-08-06,1.3862510000000001,1.3933200000000001
7,2021-08-09,1.384658,1.3893520000000001
8,2021-08-10,1.383375,1.387059
9,2021-08-11,1.3805290000000001,1.387213
10,2021-08-12,1.382361,1.387809
11,2021-08-13,1.37931,1.386213
12,2021-08-16,1.382973,1.387424
13,2021-08-17,1.373664,1.384275
14,2021-08-18,1.3734,1.377031
15,2021-08-19,1.3654110000000002,1.374967
16,2021-08-20,1.360359,1.364257
17,2021-08-23,1.362843,1.372006
18,2021-08-24,1.369582,1.374759
19,2021-08-25,1.369919,1.374287
20,2021-08-26,1.371065,1.376955
21,2021-08-27,1.368101,1.3780940000000002
22,2021-08-30,1.373626,1.3776760000000001
23,2021-08-31,1.374419,1.380434
24,2021-09-01,1.373174,1.379824
25,2021-09-02,1.376823,1.383585
26,2021-09-03,1.381979,1.387463
27,2021-09-06,1.381941,1.386001
28,2021-09-07,1.3770120000000001,1.385694
29,2021-09-08,1.372853,1.3791200000000001
30,2021-09-09,1.3754,1.385406
31,2021-09-10,1.383432,1.388889
32,2021-09-13,1.379786,1.385233
33,2021-09-14,1.383126,1.391324
34,2021-09-15,1.37931,1.3851950000000002
35,2021-09-16,1.376463,1.385042
36,2021-09-17,1.374363,1.381406
37,2021-09-20,1.364741,1.3729850000000001
38,2021-09-21,1.364219,1.369357
39,2021-09-22,1.3617860000000002,1.367802
40,2021-09-23,1.361285,1.374949
41,2021-09-24,1.365952,1.3737700000000002
42,2021-09-27,1.365934,1.3728719999999999
43,2021-09-28,1.352539,1.37178
44,2021-09-29,1.342408,1.3554540000000002
45,2021-09-30,1.341742,1.351717
46,2021-10-01,1.343634,1.357349
47,2021-10-04,1.3533629999999999,1.363977
48,2021-10-05,1.358585,1.3650010000000001
49,2021-10-06,1.354463,1.363141
50,2021-10-07,1.357184,1.363736
51,2021-10-08,1.358493,1.365374
52,2021-10-11,1.361285,1.367428
53,2021-10-12,1.3570360000000001,1.363736
54,2021-10-13,1.3577,1.364759
55,2021-10-14,1.365896,1.373438
56,2021-10-15,1.366867,1.3773540000000002
57,2021-10-18,1.371084,1.376406
58,2021-10-19,1.373815,1.3832
59,2021-10-20,1.374325,1.382361
60,2021-10-21,1.3787209999999999,1.383399
61,2021-10-22,1.374306,1.381425
62,2021-10-25,1.374344,1.379177
63,2021-10-26,1.3758190000000001,1.382954
64,2021-10-27,1.371084,1.3780370000000002
65,2021-10-28,1.372307,1.381521
66,2021-10-29,1.368176,1.3804530000000002
67,2021-11-01,1.3642379999999998,1.3692440000000001
68,2021-11-02,1.361081,1.366718
69,2021-11-03,1.361137,1.366456
70,2021-11-04,1.34732,1.369469
71,2021-11-05,1.342588,1.350986
72,2021-11-08,1.345189,1.357976
73,2021-11-09,1.352631,1.360544
74,2021-11-10,1.346838,1.356668
75,2021-11-11,1.3370229999999999,1.343274
76,2021-11-12,1.335399,1.342282
77,2021-11-15,1.340393,1.344954
78,2021-11-16,1.341094,1.347346
79,2021-11-17,1.340267,1.349018
80,2021-11-18,1.34654,1.3513899999999999
81,2021-11-19,1.340842,1.350986
82,2021-11-22,1.339226,1.34499
83,2021-11-23,1.334419,1.340842
84,2021-11-24,1.332481,1.338975
85,2021-11-25,1.330654,1.335301
86,2021-11-26,1.328057,1.334846
87,2021-11-29,1.329027,1.336309
88,2021-11-30,1.3206200000000001,1.336934
89,2021-12-01,1.327721,1.335113
90,2021-12-02,1.327246,1.3332620000000002
91,2021-12-03,1.321144,1.330814
92,2021-12-06,1.322384,1.328551
93,2021-12-07,1.321056,1.3289739999999999
94,2021-12-08,1.3174709999999998,1.32626
95,2021-12-09,1.317627,1.3217020000000002
96,2021-12-10,1.3190870000000001,1.327105
97,2021-12-13,1.322244,1.326876
98,2021-12-14,1.3190870000000001,1.3255569999999999
99,2021-12-15,1.320812,1.328286
100,2021-12-16,1.32431,1.3373270000000002
101,2021-12-17,1.325768,1.3340450000000001
102,2021-12-20,1.317402,1.324345
103,2021-12-21,1.319975,1.326119
104,2021-12-22,1.324135,1.3362370000000001
105,2021-12-23,1.334508,1.343725
106,2021-12-24,1.339405,1.34257
107,2021-12-27,1.339226,1.34407
108,2021-12-28,1.341832,1.346257
109,2021-12-29,1.340914,1.349928
110,2021-12-30,1.345533,1.352155
111,2021-12-31,1.346747,1.354848
112,2022-01-03,1.343274,1.3531799999999998
113,2022-01-04,1.346076,1.355675
114,2022-01-05,1.352265,1.3573309999999998
115,2022-01-06,1.3491090000000001,1.355748
116,2022-01-07,1.352942,1.3583450000000001
117,2022-01-10,1.353418,1.360193
118,2022-01-11,1.356282,1.362416
119,2022-01-12,1.362212,1.3699379999999999
120,2022-01-13,1.370558,1.374949
121,2022-01-14,1.36677,1.374193
122,2022-01-17,1.363866,1.368899
